category,sub-category,sub-category-link,title,author,keywords
History,Medieval History,https://www.academia.edu/Documents/in/Medieval_History?f_fri=,NADAL-GRATIA = 1,Hilarion Rakoto,"['Theology', 'Medieval History', 'Medieval Studies', 'Spirituality', 'Society of Jesus']"
History,Medieval History,https://www.academia.edu/Documents/in/Medieval_History?f_fri=,"Ten years gone: summarising a decade of research into the development of pre-historical land-use and settlement patterns in the parish of Puttenham, Surrey",Robert Briggs,"['Archaeology', 'Medieval History', 'Anglo-Saxon Studies', 'Landscape Archaeology', 'Flint (Archaeology)', 'Early Medieval And Medieval Settlement (Archaeology)', 'Bronze Age (Archaeology)', 'Iron Age', 'Roman rural settlements', 'Domesday Book', 'Medieval agriculture', 'Surrey', 'Roman Archaeology']"
History,Medieval History,https://www.academia.edu/Documents/in/Medieval_History?f_fri=,Subversive Memory in the Historical School at Rheims,Michael Edward Moore,"['Medieval History', 'Historiography', 'Early Medieval History', 'Carolingian Studies', 'History, Writing and Memory', 'Hincmar of Reims', 'Reims School of History', 'Flodoard of Reims', 'Medieval Rheims', 'Reims', 'Reims history', 'Rheims history']"
History,Medieval History,https://www.academia.edu/Documents/in/Medieval_History?f_fri=,Cyprus between Late Antiquity and the Early Middle Ages (ca. 600–800). An Island in Transition.,Luca Zavagno,"['Late Antique and Byzantine Studies', 'Medieval History', 'Cypriot Archaeology', 'Cyprus Studies', 'Late Antique Archaeology', 'Early Medieval Archaeology', 'Medieval Archaeology', 'Byzantine Studies', 'Byzantine History', 'Early Islamic Archaeology', 'History of the Eastern Mediterranean', 'Early Islamic History']"
History,Medieval History,https://www.academia.edu/Documents/in/Medieval_History?f_fri=,Registers of Jewish Communities,Andrea Yaakov Lattes,"['History', 'Intellectual History', 'Cultural History', 'Economic History', 'Cultural Studies', 'Jewish Law', 'Comparative Politics', 'Political Philosophy', 'Development Studies', 'Jewish Studies', 'Medieval History', 'Political Theory', 'Religion and Politics', 'Urban History', 'Historiography', 'Urban Anthropology', 'Political Science', 'Politics', 'Urban Regeneration', 'Jewish History', 'Urban Studies', 'Political History', 'Urbanism', 'Political Institutions', 'International Politics', 'Jewish - Christian Relations', 'History of the Jews', 'Social History', 'Urban Sociology', 'Jewish Thought', 'Jewish Philosophy', 'Jewish Literature', 'Institutions (Political Science)', 'Jewish historiography', 'Medieval Jewish History', 'Modern Jewish Philosophy', 'Judaism', 'Modern Jewish History', 'Jewish Cultural Studies', 'Filosofía Política', 'Historia', 'International institutions', 'Institutions', 'Storia medievale', 'Judaic Studies', 'Storia delle Religioni', 'Smart City', 'Storia', 'Storia Delle Istituzioni Medievali', 'Rabbinic Judaism', 'Ghetto', 'Giudaismo', 'Juifs', 'Jewish Community of Trieste', 'Storia moderna', 'Riti di fondazione della città antica', 'Political Economy and History', 'Storia delle istituzioni', 'Ebrei', 'Storia Contemporanea', 'Ghetto and Within: Class, Identity, State and Politics of Mobilisation', 'Ghetto Studies', 'Notai, Protocolli Notarili, Registri Vescovili', 'Istituzioni Politiche  Età Moderna', 'Storia Delle Dottrine Politiche', 'Storia delle istituzioni politiche', 'Città', 'Ghettoization', 'Storia della cultura e delle istituzioni scolastiche in età medievale', 'Studiosi Ebrei', 'Urban Ghettos', ""storia degli ebrei d'Italia"", 'Ebrei Roma', 'Through the Ghetto to Giotto', 'Venice Ghetto', 'Società E Istituzioni']"
History,Medieval History,https://www.academia.edu/Documents/in/Medieval_History?f_fri=,"The depiction of Character in Psellos’ Chronographia, [Byzantios: studies in Byzantine history and civilization], Brepols, Turnhout, 2013, ISBN: 9782503548418",Frederick Lauritzen,"['History', 'Philosophy', 'Classics', 'Greek Literature', 'Rhetoric', 'Medieval History', 'Literature', 'Medieval Studies', 'Byzantine Studies', 'Late Antiquity', 'Michael Psellos']"
History,Medieval History,https://www.academia.edu/Documents/in/Medieval_History?f_fri=,Дубровнишки документи за историята на България и българските земи ХІІІ-ХV в. т. ІІ (1407-1505 г.). София 2018.,Simeon Hinkovski,"['Archival Studies', 'Ottoman History', 'Medieval History', 'Paleography', 'Latin Paleography', 'Ottoman Balkans', 'Bulgarian history', 'Medieval Dubrovnik (Ragusa)']"
History,Medieval History,https://www.academia.edu/Documents/in/Medieval_History?f_fri=,"Archéologie d'une Seigneurie : l'exemple de Granges dans le Pays de Montbéliard (XVe-XVIIe siècles), Tome I",Marie-Aude SCHITTLY,"['Medieval History', 'Medieval Archaeology', 'Medieval accounts', 'Histoire Medievale', 'Archéologie médiévale', 'Franche-Comté', 'Seigneurie', 'Franche-Comté, Burgundy', 'Comptabilités Médiévales', 'Granges-le-Bourg']"
History,Medieval History,https://www.academia.edu/Documents/in/Medieval_History?f_fri=,"En torno al origen de los señoríos del reino de Jaén. La génesis del linaje de los Quesada, señores de Garcíez y Santo Tomé (Jaén). Siglos XIII-XIV. Medievalismo, 27, 2017, pp. 97-131",Maria Antonia Carmona Ruiz,"['Medieval History', 'Medieval Studies', 'Medieval Nobility', 'Medieval Spain']"
History,Medieval History,https://www.academia.edu/Documents/in/Medieval_History?f_fri=,The Iconography of the Papil Stone: A New Interpretation for the Papil Bird-Men,Kelly Kilpatrick,"['Medieval History', 'Orkney and Shetland studies', 'Pictish Art', 'Irish medieval art and architecture', 'Pictish History and Scottish Early Medieval History', 'Irish and Celtic Mythology']"
